id,c_source,gene,gr,lag,upper_asymptote
60214,Acetate,b0073,0,1800,0
60215,Acetate,b0074,0,1800,0
60216,Acetate,b0075,0,1800,0
60217,Acetate,b0076,0,1800,2.233333333
60218,Acetate,b0077,0,1800,2.396666667
60219,Acetate,b0078,0,1800,2.806666667
60220,Acetate,b0080,0,1800,0.21
60221,Acetate,b0081,0,1800,1.07
60222,Acetate,b0082,0,1800,3.373333333
60223,Acetate,b0092,0,1800,2.48
60224,Acetate,b0099,0,1800,0.483333333
60225,Acetate,b0101,0,1800,1.523333333
60226,Acetate,b0102,0,1800,2.076666667
60228,Acetate,b0106,0,1800,2.033333333
60229,Acetate,b0107,0,1800,2.396666667
60230,Acetate,b0108,0,1800,1.95
60231,Acetate,b0109,0,1800,0.443333333
60232,Acetate,b0110,0,1800,3.213333333
60233,Acetate,b0111,0,1800,3.166666667
60234,Acetate,b0112,0,1800,3.446666667
60235,Acetate,b0113,0,1800,0.54
60236,Acetate,b0114,0,1800,2.126666667
60237,Acetate,b0115,0,1800,1.84
60238,Acetate,b0116,0,1800,0
60239,Acetate,b0117,0,1800,2.676666667
60240,Acetate,b0118,0,1800,0.246666667
60241,Acetate,b0119,0,1800,2.7
60242,Acetate,b0120,0,1800,1.98
60243,Acetate,b0121,0,1800,1.098333333
60244,Acetate,b0122,0,1800,2.853333333
60245,Acetate,b0123,0,1800,2.556666667
60246,Acetate,b0124,0,1800,2.5
60247,Acetate,b0125,0,1800,2.603333333
60248,Acetate,b0127,0,1800,1.9
60249,Acetate,b0128,0,1800,2.483333333
60250,Acetate,b0129,0,1800,1.793333333
60252,Acetate,b0131,0,1800,2.01
60253,Acetate,b0132,0,1800,2.666666667
60254,Acetate,b0133,0,1800,1.093333333
60255,Acetate,b0134,0,1800,1.046666667
60256,Acetate,b0135,0,1800,1.82
60257,Acetate,b0136,0,1800,2.92
60258,Acetate,b0137,0,1800,3.116666667
60259,Acetate,b0138,0,1800,2.156666667
60260,Acetate,b0139,0,1800,2.12
60261,Acetate,b0140,0,1800,1.116666667
60262,Acetate,b0141,0,1800,1.906666667
60264,Acetate,b0144,0,1800,2.453333333
60265,Acetate,b0145,0,1800,0.426666667
60266,Acetate,b0146,0,1800,2.823333333
60267,Acetate,b0147,0,1800,1.916666667
60268,Acetate,b0148,0,1800,3.4
60269,Acetate,b0149,0,1800,0.666666667
60270,Acetate,b0150,0,1800,2.693333333
60271,Acetate,b0151,0,1800,2.376666667
60272,Acetate,b0152,0,1800,3.016666667
60273,Acetate,b0153,0,1800,1.936666667
60274,Acetate,b0155,0,1800,2.108333333
60275,Acetate,b0157,0,1800,2.506666667
60276,Acetate,b0158,0,1800,2.883333333
60277,Acetate,b0159,0,1800,0.18
60278,Acetate,b0160,0,1800,2.743333333
